,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,frequency,Frequency
1246,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1995-09,1995-09-01,85.43,85.43,M,Monthly
1247,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1995-10,1995-10-01,85.07,85.07,M,Monthly
1248,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1995-11,1995-11-01,84.58,84.58,M,Monthly
1249,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1995-12,1995-12-01,81.03,81.03,M,Monthly
1250,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1996-01,1996-01-01,82.73,82.73,M,Monthly
1251,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1996-02,1996-02-01,81.38,81.38,M,Monthly
1252,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1996-03,1996-03-01,80.43,80.43,M,Monthly
1253,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1996-04,1996-04-01,80.46,80.46,M,Monthly
1254,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1996-05,1996-05-01,80.57,80.57,M,Monthly
1255,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1996-06,1996-06-01,78.95,78.95,M,Monthly
1256,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1996-07,1996-07-01,76.75,76.75,M,Monthly
1257,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1996-08,1996-08-01,77.13,77.13,M,Monthly
