,period,value,dataset_name,FREQ,REF_AREA,series_name,series_code
141,1987-04-01,38.4207,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
142,1987-07-01,34.0994,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
143,1987-10-01,37.1636,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
144,1988-01-01,35.4351,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
145,1988-04-01,38.0279,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
146,1988-07-01,45.492,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
147,1988-10-01,42.3492,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
148,1989-01-01,43.5278,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
149,1989-04-01,45.492,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
150,1989-07-01,50.442,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
151,1989-10-01,51.1491,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
152,1990-01-01,51.8562,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
153,1990-04-01,58.3775,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
154,1990-07-01,64.8203,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
155,1990-10-01,65.4488,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
156,1991-01-01,67.1774,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
157,1991-04-01,71.3416,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
158,1991-07-01,74.6415,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
159,1991-10-01,76.7629,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
160,1992-01-01,82.2628,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
